dealer_id,dealer_name,dealer_type,region,district,credit_limit,onboarding_date
1,Choudhury Agro Distributors,Distributor,Pune,Pune,867964.3,2021-09-19
2,Maharaj Krishi Seva Kendra,Retailer,Pune,Pune,173745.11,2022-08-27
3,Kapoor Agro Distributors,Distributor,Pune,Pune,351396.44,2022-03-16
4,Chaudry Agro Distributors,Distributor,Pune,Pune,813014.49,2024-06-28
5,Chahal Agro Distributors,Distributor,Pune,Pune,710247.18,2024-02-15
6,Sami Agro Distributors,Distributor,Pune,Pune,880441.4,2021-09-30
7,Balan Krishi Seva Kendra,Retailer,Pune,Pune,100344.43,2022-01-04
8,Kamdar Agro Distributors,Distributor,Pune,Pune,369212.93,2022-08-08
9,Tiwari Agro Distributors,Distributor,Pune,Pune,591091.68,2024-03-04
10,Bala Agro Distributors,Distributor,Pune,Pune,439298.94,2023-12-31
11,Issac Agro Distributors,Distributor,Pune,Pune,340671.01,2024-08-28
12,Saini Agro Distributors,Distributor,Pune,Pune,488135.2,2022-07-20
13,Sen Agro Distributors,Distributor,Pune,Pune,760364.37,2024-02-13
14,Mall Agro Distributors,Distributor,Pune,Pune,584252.38,2025-01-20
15,Ahuja Agro Distributors,Distributor,Pune,Pune,280192.77,2024-11-02
16,Dutta Agro Distributors,Distributor,Pune,Pune,360840.68,2024-07-31
17,Sami Agro Distributors,Distributor,Solapur,Solapur,866775.6,2023-01-22
18,Mall Krishi Seva Kendra,Retailer,Solapur,Solapur,213595.5,2022-04-10
19,Kale Agro Distributors,Distributor,Solapur,Solapur,313486.87,2024-11-10
20,Nayar Agro Distributors,Distributor,Solapur,Solapur,536099.12,2022-01-17
21,Chanda Agro Distributors,Distributor,Solapur,Solapur,571864.99,2023-03-25
22,Chatterjee Agro Distributors,Distributor,Solapur,Solapur,841058.26,2023-02-20
23,Padmanabhan Agro Distributors,Distributor,Solapur,Solapur,680639.48,2024-03-06
24,Lalla Agro Distributors,Distributor,Kolhapur,Kolhapur,588044.21,2025-01-16
25,Bassi Agro Distributors,Distributor,Kolhapur,Kolhapur,370155.4,2024-09-18
26,Sharaf Krishi Seva Kendra,Retailer,Kolhapur,Kolhapur,207275.24,2023-11-23
27,Dash Krishi Seva Kendra,Retailer,Kolhapur,Kolhapur,230017.2,2023-03-23
28,Brar Agro Distributors,Distributor,Kolhapur,Kolhapur,849218.25,2023-12-17
29,Memon Agro Distributors,Distributor,Kolhapur,Kolhapur,377388.86,2025-02-20
30,Pathak Agro Distributors,Distributor,Kolhapur,Kolhapur,461464.71,2024-01-25
31,Handa Agro Distributors,Distributor,Kolhapur,Kolhapur,426376.87,2024-08-10
