inventory_id,product_id,batch_no,mfg_date,expiry_date,quantity_available,reorder_level
1,1,EK-01-001,2025-04-06,2028-04-06,437.7,282.95
2,1,EK-01-002,2026-04-09,2029-04-09,1583.19,496.28
3,2,EK-02-003,2025-03-25,2026-09-25,1037.42,415.72
4,2,EK-02-004,2025-09-26,2027-03-26,997.01,477.42
5,2,EK-02-005,2025-11-04,2027-05-04,1223.78,472.28
6,3,EK-03-006,2026-01-13,2028-01-13,861.92,469.05
7,3,EK-03-007,2025-04-26,2027-04-26,1051.56,438.78
8,3,EK-03-008,2026-07-08,2028-07-08,1223.78,580.36
9,4,EK-04-009,2025-03-23,2027-03-23,1178.66,579.08
10,4,EK-04-010,2026-02-10,2028-02-10,1315.75,450.68
11,4,EK-04-011,2026-06-09,2028-06-09,987.38,440.97
12,5,EK-05-012,2025-10-17,2027-04-17,879.15,586.42
13,5,EK-05-013,2025-08-16,2027-02-16,610.03,345.89
14,6,EK-06-014,2025-09-13,2027-03-13,327.33,283.06
15,6,EK-06-015,2026-06-07,2027-12-07,804.83,479.5
16,6,EK-06-016,2026-04-10,2027-10-10,1567.31,258.15
17,6,EK-06-017,2025-05-20,2026-11-20,691.04,423.61
18,7,EK-07-018,2026-03-20,2027-09-20,1243.41,557.12
19,7,EK-07-019,2025-05-18,2026-11-18,926.92,588.65
20,7,EK-07-020,2026-01-29,2027-07-29,566.16,512.72
21,8,EK-08-021,2026-01-16,2029-01-16,1397.47,294.69
22,8,EK-08-022,2026-04-07,2029-04-07,811.21,575.77
23,8,EK-08-023,2026-06-05,2029-06-05,657.9,487.95
24,8,EK-08-024,2025-10-06,2028-10-06,1431.81,286.09
25,9,EK-09-025,2025-07-08,2027-01-08,1057.88,539.26
26,9,EK-09-026,2025-08-04,2027-02-04,746.45,284.99
27,10,EK-10-027,2025-11-21,2027-11-21,102.2,374.22
28,10,EK-10-028,2025-12-01,2027-12-01,99.65,450.7
29,11,EK-11-029,2026-05-04,2028-05-04,83.08,365.03
30,11,EK-11-030,2026-05-20,2028-05-20,70.85,526.37
31,12,EK-12-031,2026-01-07,2028-01-07,386.34,442.34
32,12,EK-12-032,2026-03-01,2028-03-01,1405.55,441.07
33,12,EK-12-033,2025-08-15,2027-08-15,475.6,300.05
34,13,EK-13-034,2025-04-26,2027-04-26,1227.33,285.39
35,13,EK-13-035,2026-07-05,2028-07-05,939.14,327.9
36,13,EK-13-036,2025-06-14,2027-06-14,1532.79,497.18
37,14,EK-14-037,2026-06-13,2027-12-13,107.09,595.32
38,14,EK-14-038,2025-08-25,2027-02-25,88.28,332.84
39,15,EK-15-039,2026-03-02,2029-03-02,825.33,497.86
40,15,EK-15-040,2025-10-10,2028-10-10,1465.72,445.44
41,16,EK-16-041,2025-12-22,2028-12-22,1659.53,288.92
42,16,EK-16-042,2025-04-17,2028-04-17,680.52,391.82
43,16,EK-16-043,2026-03-08,2029-03-08,384.45,291.59
44,16,EK-16-044,2025-08-29,2028-08-29,1534.19,510.47
45,17,EK-17-045,2025-04-07,2027-04-07,656.26,390.08
46,17,EK-17-046,2025-07-08,2027-07-08,424.34,434.93
47,17,EK-17-047,2026-03-17,2028-03-17,1744.83,254.25
48,17,EK-17-048,2026-02-02,2028-02-02,1134.01,362.94
49,18,EK-18-049,2025-12-11,2028-12-11,1789.45,275.83
50,18,EK-18-050,2025-11-27,2028-11-27,1343.12,276.4
51,18,EK-18-051,2026-05-26,2029-05-26,1244.1,493.51
52,19,EK-19-052,2026-07-11,2028-07-11,1241.34,454.51
53,19,EK-19-053,2026-02-18,2028-02-18,1405.65,570.34
54,19,EK-19-054,2025-08-16,2027-08-16,1725.62,561.59
55,19,EK-19-055,2025-04-08,2027-04-08,460.13,367.48
56,20,EK-20-056,2025-07-29,2028-07-29,1270.27,385.89
57,20,EK-20-057,2025-08-30,2028-08-30,1175.48,277.21
58,20,EK-20-058,2026-06-01,2029-06-01,689.92,408.63
59,21,EK-21-059,2026-02-17,2027-08-17,719.65,393.92
60,21,EK-21-060,2025-04-07,2026-10-07,1327.1,306.92
61,21,EK-21-061,2026-05-27,2027-11-27,414.3,579.19
62,21,EK-21-062,2025-07-06,2027-01-06,1388.58,464.7
63,22,EK-22-063,2026-07-02,2028-01-02,1699.09,553.12
64,22,EK-22-064,2025-07-12,2027-01-12,547.25,393.94
65,22,EK-22-065,2025-07-03,2027-01-03,1515.83,595.55
66,23,EK-23-066,2025-10-18,2027-10-18,1191.2,383.31
67,23,EK-23-067,2025-08-04,2027-08-04,1543.75,449.18
68,24,EK-24-068,2026-04-05,2029-04-05,355.23,296.85
69,24,EK-24-069,2025-06-02,2028-06-02,384.56,552.65
70,25,EK-25-070,2025-12-27,2027-06-27,125.07,598.82
71,25,EK-25-071,2026-05-20,2027-11-20,87.35,547.38
72,26,EK-26-072,2025-04-11,2028-04-11,493.74,583.92
73,26,EK-26-073,2025-12-19,2028-12-19,610.84,557.38
74,26,EK-26-074,2025-09-27,2028-09-27,370.34,344.04
75,27,EK-27-075,2026-02-08,2027-08-08,1047.25,416.67
76,27,EK-27-076,2025-10-26,2027-04-26,1080.25,548.26
77,27,EK-27-077,2026-05-19,2027-11-19,1751.96,280.94
78,27,EK-27-078,2025-11-03,2027-05-03,905.22,296.91
79,28,EK-28-079,2025-05-31,2028-05-31,1432.71,467.11
80,28,EK-28-080,2026-05-07,2029-05-07,1507.57,566.1
81,28,EK-28-081,2026-01-01,2029-01-01,321.82,372.71
82,28,EK-28-082,2026-04-05,2029-04-05,1254.97,444.19
83,29,EK-29-083,2025-04-21,2028-04-21,1389.6,441.61
84,29,EK-29-084,2025-03-27,2028-03-27,1665.71,354.29
85,29,EK-29-085,2026-03-28,2029-03-28,1593.55,582.33
86,29,EK-29-086,2025-06-19,2028-06-19,989.02,544.73
87,30,EK-30-087,2025-08-06,2027-08-06,988.7,593.01
