payment_id,order_id,amount_received,payment_date,payment_mode
1,1,15008.65,2026-05-30,Cheque
2,2,6542.88,2025-08-19,Cheque
3,3,6938.71,2026-05-05,UPI
4,4,2227.04,,Cheque
5,5,4445.02,,Cheque
6,7,21859.79,2025-10-16,NEFT
7,8,10665.96,2026-03-26,UPI
8,9,19118.34,2026-02-15,Cheque
9,10,7914.34,2026-05-01,NEFT
10,11,1759.4,2025-12-08,Cheque
11,13,5910.46,2026-05-05,Cheque
12,14,16214.82,2026-06-30,UPI
13,15,18323.65,2026-03-16,Cheque
14,16,20451.45,2025-10-02,UPI
15,17,8596.87,2025-11-16,Cheque
16,18,20825.78,2025-10-10,Cheque
17,19,12407.85,2026-05-24,UPI
18,20,38326.35,2025-08-06,UPI
19,22,2116.85,2026-05-25,Cheque
20,23,1071.48,2026-07-31,Cheque
21,24,1639.95,2026-07-31,NEFT
22,25,3257.1,2026-01-03,Cheque
23,26,4339.22,2025-07-26,UPI
24,27,1790.74,2025-10-19,UPI
25,28,5109.07,2025-08-09,NEFT
26,29,26480.57,2025-06-02,UPI
27,30,22176.74,2025-10-31,NEFT
28,31,15099.97,2025-06-15,NEFT
29,32,23677.44,2026-04-01,UPI
30,33,31876.2,2026-06-18,Cheque
31,34,16224.34,2026-02-22,Cheque
32,36,27947.79,2026-02-28,UPI
33,37,24186.38,2026-07-31,UPI
34,38,12531.23,2025-07-21,Cheque
35,39,12586.5,2026-07-31,UPI
36,40,2682.88,2025-10-30,Cheque
37,41,6566.4,2026-07-03,UPI
38,42,1877.8,,Cheque
39,43,21786.05,2026-06-11,NEFT
40,44,52405.35,2026-03-15,NEFT
41,46,8443.44,2025-06-08,Cheque
42,47,16736.69,2025-06-12,NEFT
43,48,6707.16,2026-07-31,UPI
44,50,6115.3,2025-09-25,Cheque
45,51,6135.41,2026-04-26,NEFT
46,52,14691.4,2026-04-02,NEFT
47,53,11964.38,2026-05-22,UPI
48,54,5240.11,,NEFT
49,55,23870.46,2026-06-13,NEFT
50,56,1292.48,2025-05-26,Cheque
51,57,1970.48,2025-10-30,NEFT
52,58,22551.82,2026-03-01,Cheque
53,59,10086.29,,NEFT
54,60,3600.26,,Cheque
55,61,3098.66,2026-06-04,UPI
56,62,3451.78,,NEFT
57,64,4165.44,2026-02-21,UPI
58,65,26030.07,2026-06-18,Cheque
59,66,2556.37,2025-12-03,UPI
60,67,52208.76,2026-07-15,Cheque
61,68,29708.25,2025-06-24,UPI
62,69,5946.66,2025-12-27,UPI
63,70,2442.1,2026-07-31,NEFT
64,71,13919.19,2026-02-20,NEFT
65,72,12050.41,2025-05-22,UPI
66,73,10316.24,2026-06-30,NEFT
67,74,5343.61,2026-07-31,Cheque
68,75,44675.75,2025-12-07,Cheque
69,76,2263.32,,NEFT
70,77,4525.91,2025-11-17,NEFT
71,78,10953.96,2026-01-28,UPI
72,79,560.15,2025-09-11,UPI
73,80,3165.94,,Cheque
74,81,15099.97,2025-07-28,NEFT
75,82,16911.84,2026-05-12,NEFT
76,83,10764.2,2025-08-16,UPI
77,84,17141.54,2025-12-18,NEFT
78,85,3472.28,,NEFT
79,86,17582.14,2025-12-27,NEFT
80,88,5075.8,2026-01-18,Cheque
81,89,46379.87,2025-05-12,NEFT
82,90,5233.44,2026-07-22,NEFT
83,91,3663.45,2025-12-20,NEFT
84,92,18836.86,2026-03-11,UPI
85,93,27525.02,2025-10-04,NEFT
86,94,8005.87,2025-11-15,Cheque
87,95,2460.48,2026-07-06,NEFT
88,96,14724.99,2025-11-28,NEFT
89,97,10653.11,2025-09-29,Cheque
90,98,7138.32,2026-07-03,UPI
91,99,22781.52,2026-04-23,Cheque
92,100,3481.67,2025-11-28,Cheque
93,101,3924.03,2026-07-31,UPI
94,102,329.27,,NEFT
95,103,30282.39,2025-08-10,NEFT
96,104,1448.15,2026-05-01,Cheque
97,105,15927.21,2025-08-11,NEFT
98,106,2720.02,2026-07-20,NEFT
99,107,7405.06,2026-04-07,NEFT
100,108,10776.1,2026-02-04,NEFT
101,109,974.57,,NEFT
102,110,15187.68,2026-02-28,Cheque
103,111,10868.98,2026-02-28,NEFT
104,112,7092.21,2026-06-06,UPI
105,113,18987.38,2025-07-01,UPI
106,115,8548.04,2025-06-07,NEFT
107,116,5410.48,2025-08-03,NEFT
108,118,1005.26,2026-07-18,UPI
109,119,6395.63,2026-02-26,NEFT
110,120,991.57,2025-11-13,UPI
111,121,14172.56,2026-01-16,NEFT
112,122,11526.8,2026-02-16,UPI
113,123,13863.85,2025-07-20,UPI
114,124,22822.32,2026-04-25,NEFT
115,125,23141.33,2026-03-24,NEFT
116,126,10284.29,2026-06-21,UPI
117,127,3244.87,2026-05-03,UPI
118,128,4787.54,2025-11-19,UPI
119,129,7688.99,2026-05-31,UPI
120,130,9377.04,2026-02-08,Cheque
121,131,7726.44,,Cheque
122,132,32667.0,2025-05-19,UPI
123,133,758.36,,UPI
124,134,5206.8,2026-06-01,UPI
125,136,2896.3,2026-04-03,Cheque
126,137,8271.9,2025-05-25,Cheque
127,138,9993.36,2026-07-31,Cheque
128,139,3832.64,2026-02-14,UPI
129,140,4053.23,2025-07-18,NEFT
130,141,44272.5,2025-11-11,UPI
131,142,28041.15,2026-06-16,NEFT
132,143,7224.84,2025-10-30,Cheque
133,144,32497.33,2025-11-23,NEFT
134,145,10044.45,2025-07-07,NEFT
135,146,3651.42,2025-09-17,Cheque
136,148,40503.1,2026-07-17,Cheque
137,149,139.51,,Cheque
138,150,11975.64,2026-06-10,UPI
139,152,28289.14,2026-03-31,NEFT
140,153,42700.66,2026-01-01,UPI
141,154,4913.13,2025-11-21,UPI
142,155,13186.61,2026-07-31,UPI
143,156,4316.0,2026-03-09,NEFT
144,157,37749.91,2025-12-29,UPI
145,158,11920.31,2025-11-04,NEFT
146,159,6781.4,2025-06-19,NEFT
147,160,3347.34,2025-11-08,NEFT
148,161,8692.56,2026-03-09,NEFT
149,162,2658.98,,UPI
150,163,22832.36,2025-07-17,UPI
151,164,4084.47,2025-06-06,Cheque
152,165,1661.14,2026-03-20,UPI
153,166,44679.0,2026-02-25,NEFT
154,167,19090.3,2025-06-15,UPI
155,168,2011.39,2026-06-13,Cheque
156,169,7648.96,2025-11-22,UPI
157,170,16573.6,2025-09-19,Cheque
158,171,8689.03,2025-09-12,Cheque
159,173,22599.38,2025-10-09,UPI
160,174,250.9,,NEFT
161,175,1659.62,,UPI
162,176,13191.87,2025-12-13,UPI
163,177,8985.6,2026-05-15,UPI
164,178,13068.24,2025-11-04,Cheque
165,179,9407.61,2025-06-07,Cheque
166,180,7240.75,2025-10-06,NEFT
167,181,13397.48,2025-06-09,Cheque
168,182,10930.56,2026-07-31,UPI
169,183,9093.48,2025-07-29,NEFT
170,184,12413.46,2025-08-13,UPI
171,185,21141.61,2025-08-07,UPI
172,186,20777.82,2025-07-07,UPI
173,187,2225.92,,NEFT
174,188,7906.29,2025-07-02,NEFT
175,189,44651.78,2025-12-26,NEFT
176,190,16529.52,2026-02-02,NEFT
177,191,24431.53,2026-06-19,UPI
178,192,11139.55,2026-04-09,NEFT
179,193,35553.2,2025-08-17,UPI
180,195,282.29,,NEFT
181,196,38559.13,2026-04-25,NEFT
182,197,6251.36,2026-05-20,Cheque
183,198,10375.91,2025-08-14,UPI
184,199,13836.03,2026-03-27,NEFT
185,200,4249.44,2026-05-29,Cheque
186,201,7956.82,2026-07-31,UPI
